scientificName_checked,ID,Type,Eco,Param,group,ShiftKmY,DispersalPotentialKmY,MedianDispersalPotentialKmY,ClimVeloKmY_RelScale,sdClimVeloKmY_RelScale,q1ClimVeloKmY_RelScale,q3ClimVeloKmY_RelScale,RelScale,ClimVeloKmY_25km,sdClimVeloKmY_25km,q1ClimVeloKmY_25km,q3ClimVeloKmY_25km,ClimVeloKmY_50km,sdClimVeloKmY_50km,q1ClimVeloKmY_50km,q3ClimVeloKmY_50km,ClimVeloKmY_110km,sdClimVeloKmY_110km,q1ClimVeloKmY_110km,q3ClimVeloKmY_110km,MaxDispersalDistanceKm,Article_ID,Study_ID,ID_BioShifts,ID_CoRE,Article,DOI,LatCentDeg,LonCentDeg,Areakm2,LatExtentk,Latmin,Latmax,EleExtentm,Eleminm,Elemaxm,Elemeanm,Study_area,Subsp_or_Pop,sp_name_publication,sp_name_database,sp_name_checked,kingdom,phylum,class,family,taxonID,taxon_method,Trend,unit,Significance,Magnitude,Angle,FigTable,START_firstperiod,MIDPOINT_firstperiod,END_firstperiod,START_secondperiod,MIDPOINT_secondperiod,END_secondperiod,Duration,Direction,Rate,UnitRate,Grain_size,N_periodes,Sampling,Category,Obs_type,Uncertainty_distribution,Position_definition,Position_definition_category,scientificName,order,ObservationTypeSpecific,DispersalSource,Field,DispersalDistance,Code,DispersalUnit,Database,Sex,type,ObservationTypeGeneral,MedianDispersalDistanceKm,NObs_MedianDispersalDistanceKm,AgeAtMaturityDays,AgeAtMaturity,AgeAtMaturityDatabase,Unit,AgeAtMaturyCode,YearOfMaturity,temp_var,range_source,along_gradient,LimitingRate,LimitingRate_median,LimitingRate_q3,LimitingRate_q3_median,what_is_limiting,what_is_limiting_q3,colour,colour_q3
Accipiter cooperii,A110_P2,LAT,Ter,LE,Bird,-0.1468,28.85915656,17.6,2.467926703,1.231152285,1.835407019,2.693603516,50km,1.877613047,1.626953274,1.436727047,2.54656291,2.467926703,1.231152285,1.835407019,2.693603516,3.167618381,0.58648848,2.671414137,3.413905144,57.71831312,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Accipiter_cooperii,Accipiter_cooperii,Accipiter_cooperii,Animalia,Chordata,Aves,Accipitridae,GBIF:2480621,Find_Sci_Names,-3.083,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-0.1468,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Accipiter cooperii,Accipitriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,57.71831312,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,35.2,5,730,730,AnAge,days,AgeAtMaturity,2,Mean Air Temperature,BOTW,latitude,2.467926703,2.467926703,2.693603516,2.693603516,Climate,Climate,2.467926703,2.693603516
Melospiza melodia,A110_P2,LAT,Ter,LE,Bird,0.1016,13.2,13.2,4.346676042,2.658419319,2.587908745,6.139628887,25km,4.346676042,2.658419319,2.587908745,6.139628887,4.816489677,2.099939139,3.133382559,6.366296768,5.069097771,1.664273963,3.536452532,6.245371342,13.2,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Melospiza_melodia,Melospiza_melodia,Melospiza_melodia,Animalia,Chordata,Aves,Passerellidae,GBIF:2492196,Find_Sci_Names,2.134,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,0.1016,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Melospiza melodia,Passeriformes,natal dispersal,"Nice (1937), Johnston (1956), Halliburton and Mewaldt (1976), Arcese (1989)",Natal_dispersal_maximum_distance_(km),13.2,MaxDispersalDistance,km,Sutherland (birds),m,Max,natal dispersal,13.2,3,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,4.346676042,4.346676042,6.139628887,6.139628887,Climate,Climate,4.346676042,6.139628887
Scolopax minor,A110_P2,LAT,Ter,LE,Bird,0.251,298.3929179,279.3017328,4.14507919,1.628690189,3.167531967,4.831261158,110km,3.253568936,2.709752869,1.585740089,4.321814537,3.851363685,2.322772111,2.005905151,4.697582722,4.14507919,1.628690189,3.167531967,4.831261158,298.3929179,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Scolopax_minor,Scolopax_minor,Scolopax_minor,Animalia,Chordata,Aves,Scolopacidae,GBIF:2481695,Find_Sci_Names,5.271,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,0.251,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Scolopax minor,Charadriiformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,298.3929179,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,279.3017328,2,300,300,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,4.14507919,4.14507919,4.831261158,4.831261158,Climate,Climate,4.14507919,4.831261158
Asio otus,A110_P2,LAT,Ter,LE,Bird,6.6107,162,15.421,5.026184896,1.764221603,3.457851648,6.308531284,110km,4.174056638,2.750332154,2.337268114,6.008821964,4.738498352,2.199621367,2.886728525,6.395945549,5.026184896,1.764221603,3.457851648,6.308531284,162,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Asio_otus,Asio_otus,Asio_otus,Animalia,Chordata,Aves,Strigidae,GBIF:2497306,Find_Sci_Names,138.825,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,6.6107,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Asio otus,Strigiformes,individual movement distance,NA,Max._Indiv._Dispersal_Distance_(m),162000,MaxDispersalDistance,m,Jenkins et al. 2007,NA,Max,natal/breeding dispersal,15.421,5,364.234,364.234,Amniota,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,5.026184896,5.026184896,6.308531284,6.308531284,Climate,Climate,5.026184896,6.308531284
Sialia sialis,A110_P2,LAT,Ter,LE,Bird,5.994,73.18538028,44.11021358,4.02546058,2.431428658,2.005905151,5.428583622,50km,3.332917885,2.811924267,1.577896833,4.894578934,4.02546058,2.431428658,2.005905151,5.428583622,4.392095439,1.826395006,3.167531967,5.405193806,73.18538028,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Sialia_sialis,Sialia_sialis,Sialia_sialis,Animalia,Chordata,Aves,Turdidae,GBIF:2490941,Find_Sci_Names,125.874,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,5.994,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Sialia sialis,Passeriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,73.18538028,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,44.11021358,2,306,306,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,4.02546058,4.02546058,5.428583622,5.428583622,Climate,Climate,4.02546058,5.428583622
Bubo virginianus,A110_P2,LAT,Ter,LE,Bird,-2.1073,655,329.8598,5.070447997,1.643634346,3.536452532,6.12825346,110km,4.336361119,2.620656296,2.633898258,6.06394577,4.795500069,2.075282365,3.182399273,6.352716446,5.070447997,1.643634346,3.536452532,6.12825346,1310,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Bubo_virginianus,Bubo_virginianus,Bubo_virginianus,Animalia,Chordata,Aves,Strigidae,GBIF:5959118,Find_Sci_Names,-44.254,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-2.1073,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Bubo virginianus,Strigiformes,individual movement distance,NA,Max._Indiv._Dispersal_Distance_(m),1310000,MaxDispersalDistance,m,Jenkins et al. 2007,NA,Max,natal/breeding dispersal,659.7195999,4,730,730,AnAge,days,AgeAtMaturity,2,Mean Air Temperature,BOTW,latitude,5.070447997,5.070447997,6.12825346,6.12825346,Climate,Climate,5.070447997,6.12825346
Progne subis,A110_P2,LAT,Ter,LE,Bird,-0.9373,336,41.14800003,3.21938817,0.542517366,2.834770679,3.438774824,110km,2.023844453,1.640942569,1.482697248,2.664929152,2.569243939,1.197026138,1.867570519,2.917654991,3.21938817,0.542517366,2.834770679,3.438774824,336,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Progne_subis,Progne_subis,Progne_subis,Animalia,Chordata,Aves,Hirundinidae,GBIF:2489129,Find_Sci_Names,-19.683,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-0.9373,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Progne subis,Passeriformes,natal dispersal,Allen and Nice (1952),Natal_dispersal_maximum_distance_(km),336,MaxDispersalDistance,km,Sutherland (birds),m/f,Max,natal dispersal,41.14800003,5,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,3.21938817,3.21938817,3.438774824,3.438774824,Climate,Climate,3.21938817,3.438774824
Troglodytes aedon,A110_P2,LAT,Ter,LE,Bird,1.6005,147.4331741,147.4331741,3.191112428,0.546393002,2.671414137,3.438774824,110km,1.846180543,1.559044689,1.452323794,2.54656291,2.462241817,1.131003867,1.849696398,2.781531334,3.191112428,0.546393002,2.671414137,3.438774824,147.4331741,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Animalia,Chordata,Aves,Troglodytidae,GBIF:5231459,Find_Sci_Names,33.61,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,1.6005,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Troglodytes aedon,Passeriformes,geometric/arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,geom/arimean,147.4331741,SingleObservation,km,Chu & Clairmunt 2023,NA,Unknown,natal dispersal,147.4331741,2,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,3.191112428,3.191112428,3.438774824,3.438774824,Climate,Climate,3.191112428,3.438774824
Cathartes aura,A110_P2,LAT,Ter,LE,Bird,7.499,56.46219573,39.99631034,3.280909595,0.611961398,2.640352011,3.559875727,110km,2.064999016,1.314036156,1.509306788,2.687713385,2.431149703,1.116284244,1.845247388,2.865276098,3.280909595,0.611961398,2.640352011,3.559875727,169.3865872,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Cathartes_aura,Cathartes_aura,Cathartes_aura,Animalia,Chordata,Aves,Cathartidae,GBIF:2481930,Find_Sci_Names,157.479,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,7.499,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Cathartes aura,Accipitriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,169.3865872,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,119.988931,2,730.5,730.5,Amniota,days,AgeAtMaturity,3,Mean Air Temperature,BOTW,latitude,3.280909595,3.280909595,3.559875727,3.559875727,Climate,Climate,3.280909595,3.559875727
Hirundo rustica,A110_P2,LAT,Ter,LE,Bird,-1.541,70.9,8.1,4.84528252,2.124760774,3.086540461,6.421368122,50km,4.35952765,2.693077113,2.512470245,6.178092957,4.84528252,2.124760774,3.086540461,6.421368122,5.078338722,1.688627206,3.512286425,6.245371342,70.9,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Animalia,Chordata,Aves,Hirundinidae,GBIF:9515886,Find_Sci_Names,-32.362,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-1.541,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Hirundo rustica,Passeriformes,individual movement distance,NA,Max._Indiv._Dispersal_Distance_(m),70900,MaxDispersalDistance,m,Jenkins et al. 2007,NA,Max,natal/breeding dispersal,8.1,9,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,4.84528252,4.84528252,6.421368122,6.421368122,Climate,Climate,4.84528252,6.421368122
Hylocichla mustelina,A110_P2,LAT,Ter,LE,Bird,0.5197,4.68,4.68,2.848747629,2.700060277,1.537710428,3.582144976,25km,2.848747629,2.700060277,1.537710428,3.582144976,3.493364965,2.399501294,1.901408195,4.349738121,3.762610792,1.424723565,2.869317532,3.779417992,4.68,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Animalia,Chordata,Aves,Turdidae,GBIF:2490872,Find_Sci_Names,10.913,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,0.5197,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Hylocichla mustelina,Passeriformes,natal dispersal,Anders et al. (1998),Natal_dispersal_maximum_distance_(km),4.68,MaxDispersalDistance,km,Sutherland (birds),m/f,Max,natal dispersal,4.68,2,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,2.848747629,2.848747629,3.582144976,3.582144976,Climate,Climate,2.848747629,3.582144976
Buteo lineatus,A110_P2,LAT,Ter,LE,Bird,0.415,36.36132188,24,1.665894442,1.324968366,1.408807397,2.251333714,25km,1.665894442,1.324968366,1.408807397,2.251333714,2.248643175,1.041796178,1.798764348,2.412165642,3.08822668,0.498647053,2.640352011,3.403298616,36.36132188,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Buteo_lineatus,Buteo_lineatus,Buteo_lineatus,Animalia,Chordata,Aves,Accipitridae,GBIF:2480529,Find_Sci_Names,8.714,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,0.415,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Buteo lineatus,Accipitriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,36.36132188,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,24,4,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,1.665894442,1.665894442,2.251333714,2.251333714,Climate,Climate,1.665894442,2.251333714
Passerina cyanea,A110_P2,LAT,Ter,LE,Bird,-0.2902,470,470,3.270618672,0.609549293,2.786421299,3.512286425,110km,2.18029878,1.460051852,1.521072626,2.848458767,2.587025611,1.220580892,1.873892188,3.043457508,3.270618672,0.609549293,2.786421299,3.512286425,470,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Passerina_cyanea,Passerina_cyanea,Passerina_cyanea,Animalia,Chordata,Aves,Cardinalidae,GBIF:2490327,Find_Sci_Names,-6.095,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-0.2902,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Passerina cyanea,Passeriformes,natal dispersal,Payne (1991),Natal_dispersal_maximum_distance_(km),470,MaxDispersalDistance,km,Sutherland (birds),m/f,Max,natal dispersal,470,2,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,3.270618672,3.270618672,3.512286425,3.512286425,Climate,Climate,3.270618672,3.512286425
Strix varia,A110_P2,LAT,Ter,LE,Bird,-0.376,3.877894188,3.526296688,4.065931873,2.719672589,2.279754639,5.803273678,25km,4.065931873,2.719672589,2.279754639,5.803273678,4.666100622,2.20265454,2.751122475,6.325823784,5.004592247,1.788388928,3.438774824,6.308531284,7.755788376,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Strix_varia,Strix_varia,Strix_varia,Animalia,Chordata,Aves,Strigidae,GBIF:2497541,Find_Sci_Names,-7.895,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-0.376,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Strix varia,Strigiformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,7.755788376,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,7.052593376,2,730,730,AnAge,days,AgeAtMaturity,2,Mean Air Temperature,IUCN,latitude,3.877894188,3.526296688,3.877894188,3.526296688,Dispersal,Dispersal,NA,NA
Falco sparverius,A110_P2,LAT,Ter,LE,Bird,-0.823,65.6673505,32.45,4.747946071,2.188466324,2.891437054,6.395945549,50km,4.206044474,2.748448634,2.362339497,6.054577827,4.747946071,2.188466324,2.891437054,6.395945549,5.02372093,1.74997065,3.457851648,6.308531284,65.6673505,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Falco_sparverius,Falco_sparverius,Falco_sparverius,Animalia,Chordata,Aves,Falconidae,GBIF:9685907,Find_Sci_Names,-17.282,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-0.823,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Falco sparverius,Falconiformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,65.6673505,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,32.45,5,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,IUCN,latitude,4.747946071,4.747946071,6.395945549,6.395945549,Climate,Climate,4.747946071,6.395945549
Dryocopus pileatus,A110_P2,LAT,Ter,LE,Bird,3.8334,32,32,4.399631788,2.59305301,2.717878819,6.100031376,25km,4.399631788,2.59305301,2.717878819,6.100031376,4.846142618,2.066746488,3.245625734,6.366296768,5.146176914,1.647909157,3.690742016,6.308531284,32,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Dryocopus_pileatus,Dryocopus_pileatus,Dryocopus_pileatus,Animalia,Chordata,Aves,Picidae,GBIF:5228824,Find_Sci_Names,80.502,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,3.8334,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Dryocopus pileatus,Piciformes,natal dispersal,Bull and Jackson (1995),Natal_dispersal_maximum_distance_(km),32,MaxDispersalDistance,km,Sutherland (birds),m/f,Max,natal dispersal,32,2,354,354,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,GBIF occurrence,latitude,4.399631788,4.399631788,6.100031376,6.100031376,Climate,Climate,4.399631788,6.100031376
Molothrus ater,A110_P2,LAT,Ter,LE,Bird,-1.675,40,40,2.846393608,2.401682544,1.565557122,3.633045435,25km,2.846393608,2.401682544,1.565557122,3.633045435,3.403533112,2.063112121,1.935223103,3.889564514,3.720780143,1.1697349,2.9059062,4.05871582,40,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Molothrus_ater,Molothrus_ater,Molothrus_ater,Animalia,Chordata,Aves,Icteridae,GBIF:2484391,Find_Sci_Names,-35.174,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Contraction,-1.675,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Molothrus ater,Passeriformes,natal dispersal,Lowther (1993),Natal_dispersal_maximum_distance_(km),40,MaxDispersalDistance,km,Sutherland (birds),m/f,Max,natal dispersal,40,2,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,2.846393608,2.846393608,3.633045435,3.633045435,Climate,Climate,2.846393608,3.633045435
Buteo jamaicensis,A110_P2,LAT,Ter,LE,Bird,0.7744,100.0704751,58.58976271,5.068418793,1.652165426,3.536452532,6.12825346,110km,4.347252248,2.639814035,2.606863022,6.100832462,4.811618223,2.086573584,3.179507971,6.360554695,5.068418793,1.652165426,3.536452532,6.12825346,200.1409502,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Buteo_jamaicensis,Buteo_jamaicensis,Buteo_jamaicensis,Animalia,Chordata,Aves,Accipitridae,GBIF:2480542,Find_Sci_Names,16.262,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,0.7744,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Buteo jamaicensis,Accipitriformes,arithmetic mean natal dispersal distance,Chu & Clairmunt 2023,arimean,200.1409502,MeanDispersalDistance,km,Chu & Clairmunt 2023,NA,Mean,natal dispersal,117.1795254,2,730,730,AnAge,days,AgeAtMaturity,2,Mean Air Temperature,BOTW,latitude,5.068418793,5.068418793,6.12825346,6.12825346,Climate,Climate,5.068418793,6.12825346
Megascops asio,A110_P2,LAT,Ter,LE,Bird,0.102,159,158.5,3.161047912,0.550475488,2.640352011,3.438774824,110km,1.7179975,1.213489416,1.452323794,2.251333714,2.219389888,1.132097177,1.798764348,2.286382675,3.161047912,0.550475488,2.640352011,3.438774824,159,A110,P2,110,NA,Greenlee_2012_Thesis,n/a,50.45795,-86.0461,994723.88,1566.97,5008551.1,6575523.31,1654.19,-2,1652.19,263.18,"Ontario, Canada",NA,Megascops_asio,Megascops_asio,Megascops_asio,Animalia,Chordata,Aves,Strigidae,GBIF:2497415,Find_Sci_Names,2.141,km,U,NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,Expansion,0.102,km/year,large,2,TWO,CensusPeriods,occurrence,Raw,Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences),Furthest occurrence,Megascops asio,Strigiformes,individual movement distance,NA,Max._Indiv._Dispersal_Distance_(m),159000,MaxDispersalDistance,m,Jenkins et al. 2007,NA,Max,natal/breeding dispersal,158.5,3,365,365,AnAge,days,AgeAtMaturity,1,Mean Air Temperature,BOTW,latitude,3.161047912,3.161047912,3.438774824,3.438774824,Climate,Climate,3.161047912,3.438774824
